Timestamp,gender,edu_level,study_time,study_method,tech_use,best_time,break_freq,prep_method,sleep_time,exercise,diet,focus,phone_use,env,sm_use,gpa_year,gpa_semester
4/9/2025 23:17:32,Male,University,2-4 hours,Self-study,Yes,Late night,15+ min/hour,1-2 weeks before,4-6 hours,5+ times,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,8.0,8.0
4/10/2025 5:55:23,Male,High school,2-4 hours,"Self-study, Group study, Tutoring",Yes,Morning,10-15 min/hour,1-2 weeks before,6-8 hours,1-2 times,Balanced diet,No,No,Soft background music,< 15 min/hour,9.2,9.0
4/10/2025 8:59:13,Male,University,> 4 hours,Self-study,Yes,Late night,15+ min/hour,> 2 weeks before,4-6 hours,5+ times,No specific diet,No,Yes,Silent,Never,7.81,7.81
4/10/2025 11:35:37,Male,University,1-2 hours,Tutoring,Yes,Evening,Almost no breaks,1 day before,6-8 hours,Never,No specific diet,Yes,No,"Noisy (cafe, crowded library, etc.)",Never,8.34,8.32
4/10/2025 11:46:32,Male,University,> 4 hours,"Self-study, Group study, Tutoring, Online learning",Yes,Late night,10-15 min/hour,> 2 weeks before,6-8 hours,3-4 times,No specific diet,No,No,Silent,< 15 min/hour,8.5,9.7
4/10/2025 12:47:48,Male,University,2-4 hours,Self-study,Yes,Afternoon,10-15 min/hour,1-2 weeks before,> 8 hours,Never,No specific diet,Yes,No,Soft background music,Never,7.5,7.5
4/10/2025 20:44:17,Male,High school,2-4 hours,"Self-study, Online learning",Yes,Evening,15+ min/hour,1-2 weeks before,> 8 hours,3-4 times,Balanced diet,Yes,Yes,Silent,> 30 min/hour,9.2,9.3
4/10/2025 22:16:20,Female,University,2-4 hours,Self-study,Yes,Late night,Almost no breaks,1-2 weeks before,4-6 hours,3-4 times,Balanced diet,Yes,No,Silent,15-30 min/hour,9.5,7.6
4/10/2025 22:36:01,Male,University,> 4 hours,"Self-study, Online learning",Yes,Evening,5 min/hour,1-2 weeks before,6-8 hours,1-2 times,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,8.68,8.5
4/11/2025 2:16:37,Female,University,2-4 hours,Self-study,Yes,Late night,10-15 min/hour,1-2 weeks before,4-6 hours,3-4 times,"Special diet (Vegan, Keto, etc.)",Yes,Yes,Silent,15-30 min/hour,7.99,7.99
4/11/2025 7:06:55,Male,University,2-4 hours,Self-study,Yes,Evening,10-15 min/hour,1-2 weeks before,4-6 hours,5+ times,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,8.0,7.24
4/11/2025 7:11:58,Male,University,2-4 hours,Self-study,Yes,Evening,10-15 min/hour,1-2 weeks before,6-8 hours,3-4 times,Balanced diet,Yes,Yes,Silent,> 30 min/hour,3.5,3.4
4/11/2025 7:17:36,Female,High school,2-4 hours,"Self-study, Online learning",Yes,Late night,15+ min/hour,1-2 weeks before,> 8 hours,1-2 times,No specific diet,Yes,Yes,Silent,> 30 min/hour,8.9,8.8
4/11/2025 7:24:44,Female,University,2-4 hours,Group study,Yes,Evening,15+ min/hour,1-2 weeks before,4-6 hours,1-2 times,Balanced diet,No,No,Soft background music,< 15 min/hour,9.2,9.2
4/11/2025 7:33:44,Male,University,> 4 hours,"Self-study, Online learning",Yes,Evening,15+ min/hour,1-2 weeks before,6-8 hours,1-2 times,No specific diet,Yes,Yes,Silent,15-30 min/hour,7.84,8.56
4/11/2025 8:18:29,Male,University,2-4 hours,Self-study,Yes,Late night,10-15 min/hour,1-2 weeks before,6-8 hours,3-4 times,No specific diet,Yes,Yes,Soft background music,< 15 min/hour,8.2,8.0
